claim	article_url	video_url	autres_candidats
"Un tableau de Paul Cézanne (...) a été clairement identifié accroché au mur derrière Zelensky dans une de ses	https://www.tf1info.fr/international/verif-un-tableau-vole-du-peintre-francais-cezanne-a-t-il-ete-decouvert-dans-le-bureau-de-volodymyr-zelensky-2437798.html	https://x.com/InvasionEuro/status/2046953173915677100	
Une vidéo de musulmans priant à Times Square après l'élection de Zohran Mamdani	https://factuel.afp.com/doc.afp.com.83KL8T6	https://x.com/andrearthurciel/status/1986586463513854094	https://www.youtube.com/embed/q4tZbpEAwXQ; https://www.youtube.com/watch?v=WLEvLB5KYNI; https://www.tiktok.com/@wayoflifesq/video/7477497712351399174
Une vidéo d'une musulmane recevant le baptême	https://factuel.afp.com/doc.afp.com.B7YN4WE		
Une vidéo montre les incendies en Israël survenus fin avril 2025	https://factuel.afp.com/doc.afp.com.46FL49D	https://www.youtube.com/watch?v=w6tpIBHhZLw	https://www.instagram.com/p/DEoJC4HP6e5
Une vidéo montre un professeur giflé et une scène de chaos lors de la rentrée universitaire à Grenoble	https://www.tf1info.fr/education/verif-prof-gifle-etudiants-marchant-sur-les-tables-gare-a-cette-video-de-la-rentree-a-la-fac-de-grenoble-2392502.html		
Ces images montrent les conséquences d'une attaque de missiles iraniens sur Tel-Aviv.	https://dpa-factchecking.com/switzerland/250617-99-187910	https://x.com/lessard_senapus/status/1934241516597154177	https://www.tiktok.com/@rtonios2/video/7516244641730088214; https://www.tiktok.com/@3amelyonn/video/7516683650512080150; https://www.tiktok.com/@3amelyonn/video/7512294014553459990
Cette vidéo montre un rassemblement anti-vaccin à Bucarest en 2021	https://factuel.afp.com/doc.afp.com.9P86CA		
Cette vidéo montre un biscuit Oreo parasité par une substance organique	https://factuel.afp.com/doc.afp.com.34PJ8KC	https://www.tiktok.com/@providingforthecommunity/video/7303238492782447903	https://www.tiktok.com/@providingforthecommunity/video/7302105619245387039; https://www.youtube.com/shorts/cDCM3rQ_mrA; https://www.youtube.com/watch?v=zQwklG1RKnE
Une vidéo montrant des ondes générer des remous à la surface d'un bol d'eau prouve leur danger pour le corps h	https://www.tf1info.fr/sante/cette-video-prouve-t-elle-les-dangers-des-ondes-sur-le-corps-humain-2286718.html	https://twitter.com/SimonSecours/status/1756728144755630398	https://www.youtube.com/watch?v=pqIZDIxJgXw
Cette vidéo montre des agriculteurs lâcher des taureaux sur un barrage de policiers.	https://www.tf1info.fr/societe/verif-des-agriculteurs-paris-colere-ont-ils-vraiment-lache-des-taureaux-sur-un-barrage-de-policiers-2418375.html		
Dans cette vidéo, Tim Walz affirme avoir combattu en Afghanistan alors que c'est faux	https://factuel.afp.com/doc.afp.com.36FU7FP	https://x.com/Trump_Fact_News/status/1830205082085810555	https://www.youtube.com/embed/w6tpIBHhZLw; https://www.youtube.com/watch?v=Yiu_53IUYZg; https://www.youtube.com/embed/Yiu_53IUYZg
Une vidéo virale montre un jeune Thaïlandais échapper au service militaire à l'issue d'un tirage au sort	https://www.tf1info.fr/international/verif-en-thailande-un-vaste-tirage-au-sort-decide-t-il-vraiment-de-qui-effectuera-son-service-militaire-2364672.html	https://www.instagram.com/reel/DIG3sbCxUHA	https://www.tiktok.com/@22114.2/video/7489139607863381266
Cette vidéo montre des migrants qui attaquent la police à Marseille	https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Non-cette-attaque-d-un-commissariat-de-police-n-a-pas-ete-commise-par-des-migrants-a-Marseille/	https://www.youtube.com/embed/ZWjhUggnNZo	
Cette vidéo montre des soldats israéliens dévaster une église au Liban	https://factuel.afp.com/doc.afp.com.B6DV6KF		
La CIA avertit les Américains de ne pas utiliser le métro pendant les Jeux olympiques de Paris en raison de la	https://dpa-factchecking.com/switzerland/240722-99-806599	https://x.com/JoelleBonnet/status/1814643982950928505	https://twitter.com/zoomtreize/status/1814594992205124078; https://twitter.com/JoelleBonnet/status/1814643982950928505; https://twitter.com/Aliyah01150546/status/1805511724214174033
Cette vidéo montre un crocodile dans la Seine	https://factuel.afp.com/doc.afp.com.34PY69N		
Une vidéo montrant la jeunesse ghanéenne rejeter des sacs de riz offerts par des politiciens	https://factuel.afp.com/doc.afp.com.368424Y	https://www.youtube.com/watch?v=kiIctKs-yqA	
Aya Nakamura qui chante à la gloire des dirigeants africains ?... Attention à ces vidéos
Pour afficher ce cont	https://web.archive.org/web/2id_/https://www.france24.com/fr/%C3%A9missions/info-ou-intox/20250404-aya-nakamura-chante-la-gloire-des-dirigeants-africains-attention-%C3%A0-ces-vid%C3%A9os	https://www.youtube.com/watch?v=G5lp5UN7c8I	https://www.youtube.com/embed/G5lp5UN7c8I
Cette vidéo montre le séisme survenu au Venezuela le 24 juin 2026	https://factuel.afp.com/doc.afp.com.B8N26G3		
Cette vidéo montre ce qui se trouve au-delà du mur de glace de l'Antarctique.	https://dpa-factchecking.com/belgium/250407-99-461525	https://www.facebook.com/elisabeth.lili.79/videos/885006177029181	https://www.tiktok.com/@ancientchronicles72/video/7477603087738244374; https://www.tiktok.com/@ancientchronicles72/video/7485426963633523990; https://www.tiktok.com/@ancientchronicles72/video/7486911362417822998
Des images de vidéos surveillance montrent les dégats d'une frappe israélienne sur le quartier général des Gar	https://www.tf1info.fr/international/verif-cette-video-montre-t-elle-les-frappes-israeliennes-sur-le-qg-des-gardiens-de-la-revolution-2410357.html	https://x.com/Shayan86/status/1995781973722169763	
Une vidéo montre un conscrit ukrainien envoyé de force au front	https://factuel.afp.com/doc.afp.com.83X63T3		
Vidéo du Raptor sur le réchauffement climatique	https://www.franceinfo.fr/replay-radio/le-vrai-du-faux/vrai-ou-faux-les-erreurs-et-imprecisions-du-raptor-qui-pretend-decrypter-l-arnaque-mondiale-du-climatisme_6759523.html		
Ces images montrent un navire de guerre américain tirant avec une arme laser.	https://dpa-factchecking.com/belgium/250224-99-24376	https://www.facebook.com/luc.poupeau.1/videos/3851077581808589	https://x.com/CommonSenseMars/status/1886284066124865594; https://twitter.com/BlackBondPtv/status/1886818955857199457
Kamala Harris compte fermer Twitter si elle gagne, comme elle l'explique dans cette vidéo.	https://dpa-factchecking.com/switzerland/240903-99-292067	https://www.facebook.com/Sara.Art.8/videos/1184047842703807	https://twitter.com/trump_fact_news/status/1830755374565150866; https://twitter.com/RobertKennedyJr/status/1830745926861758712; https://twitter.com/elonmusk/status/1830827486894030900
Une vidéo montre un soldat tué par un homme derrière son ordinateur avec une manette de jeu vidéo	https://www.tf1info.fr/international/verif-la-nouvelle-guerre-moderne-cette-video-montre-t-elle-vraiment-un-soldat-tue-par-un-homme-derriere-son-ordinateur-2443627.html	https://www.instagram.com/reel/DVjHzaHhRfr	https://x.com/WarNewsPL1/status/2034016405428072901; https://www.youtube.com/shorts/LLR6w6qevns
Une vidéo illustre le naufrage d'un navire attaqué par les missiles des Houthis en mer Rouge	https://www.tf1info.fr/international/gare-a-cette-video-presentee-a-tort-comme-celle-d-un-navire-coule-en-mer-rouge-par-une-attaque-des-houthis-2286952.html	https://twitter.com/David_vanH/status/1760016315937439844	
Une vidéo prouve que les IA peuvent développer un langage secret pour se parler entre elles	https://www.tf1info.fr/high-tech/verif-cette-video-prouve-t-elle-que-les-ia-peuvent-developper-un-langage-secret-pour-se-parler-entre-elles-2376155.html		
Une vidéo de la CIA qui met en garde contre une menace terroriste dans le métro en amont des JO	https://factuel.afp.com/doc.afp.com.34ZL2GC	https://x.com/Aliyah01150546/status/1805511724214174033	https://x.com/RecordedFuture/status/1797991707897635055; https://x.com/antibot4navalny/status/1805907575189164302
Une vidéo montre que la Russie a frappé un convoi militaire de l'Otan en route pour l'Ukraine	https://www.tf1info.fr/international/guerre-en-ukraine-la-russie-a-t-elle-reellement-frappe-un-convoi-militaire-de-l-otan-qui-etait-en-route-pour-le-front-2297730.html	https://youtube.com/shorts/ARMn-SAAmIc	https://www.youtube.com/watch?v=4xLE2R72n1Y
Cette vidéo montre la population de Téhéran fêter les frappes iraniennes contre Israël.	https://dpa-factchecking.com/belgium/250617-99-188883	https://www.instagram.com/reel/DHYhA_6MvdD	https://www.facebook.com/stephane.zozo.946/videos/1261045395637885; https://www.instagram.com/reel/DHWfi6jSAk3; https://www.tiktok.com/@hamidxsasa/video/7483397702819040534
Cette vidéo montre Kash Patel, le directeur du FBI, en train de danser	https://www.tf1info.fr/international/verif-non-cette-video-ne-montre-pas-le-directeur-du-fbi-kash-patel-en-train-de-danser-piratage-iran-2433857.html	https://x.com/JaikyYadav16/status/1606230529308708864	
Cette vidéo montre un prêtre mort après avoir été vacciné	https://factuel.afp.com/doc.afp.com.9TF6BT	https://www.youtube.com/embed/257uaN9_k3U	https://www.youtube.com/embed/hpCnZdPGcvs; https://www.youtube.com/embed/-9z-zQJSUL4; https://www.youtube.com/embed/h0bqN1BXDbc
Des vidéos d’ovnis déclassifiées par Trump	https://www.20minutes.fr/monde/etats-unis/4220892-20260506-etats-unis-videos-ovnis-elles-declassifiees-donald-trump-tout-fait	https://x.com/Trump_Fact_News/status/2046164990575423746	https://www.youtube.com/watch?v=HO2OIJzpqLY
Cette vidéo récente montre des femmes iraniennes protestant contre le régime islamique	https://factuel.afp.com/doc.afp.com.634U2CP	https://x.com/JeanMessiha/status/1935288062793097298	https://www.youtube.com/watch?v=YbDufsuLwUE; https://www.youtube.com/embed/YbDufsuLwUE; https://www.youtube.com/watch?v=JPqKqa49tFk
Cette vidéo montre une frappe iranienne sur Tel-Aviv	https://factuel.afp.com/doc.afp.com.99W3863		
Une vidéo montre des "Aerofoot", des chaussures volantes développées en Chine	https://www.tf1info.fr/high-tech/verif-chaussures-volantes-aerofoot-cette-video-montre-t-elle-reellement-une-nouvelle-technologie-chinoise-2403073.html		
Des vidéos montrent Giorgia Meloni provoquer le ministre israélien, écharpe et drapeau palestinien sur les épa	https://factuel.afp.com/doc.afp.com.B2QV99E		
Marine Le Pen en pleurs après la défaite du RN au second tour des élections législatives françaises.	https://poligraph.fr/factchecks/2024-07-18-video-hors-contexte-des-images-de-marine-le-pen-en-plein-fou-rire-en		
Cette vidéo montre une hôtesse de l’air blessée lors de « l’altercation	https://www.20minutes.fr/societe/4157228-20250608-video-montre-hotesse-air-blessee-lors-altercation-entre-brigitte-emmanuel-macron	https://x.com/CaptKylePatriot/status/1927091446705799528	https://x.com/TheRubberDuck79/status/1927043042646663305; https://www.youtube.com/watch?v=9dviddvMIm0
Une vidéo montre une alpiniste creuser la neige après avoir perdu son bébé	https://www.tf1info.fr/international/verif-cette-video-d-une-alpiniste-qui-aurait-perdu-son-bebe-est-elle-credible-2401169.html		
Une vidéo montre une attaque iranienne contre des infrastructures énergétiques à Dubaï.	https://factuel.afp.com/doc.afp.com.B2GG9G3		
Cette vidéo montre un incendie volontaire et prouve que le réchauffement climatique n'existe pas	https://factuel.afp.com/doc.afp.com.363A9EC	https://x.com/silvano_trotta/status/1768039829051150538	https://www.youtube.com/watch?v=NZSYBclYuJs; https://www.youtube.com/watch?v=WLEvLB5KYNI; https://www.youtube.com/embed/uw6DWnjsYbY
Une vidéo tournée à l'aéroport de Washington prouve une arrivée massive d'aliens aux États-Unis	https://www.tf1info.fr/international/verif-drones-suspects-aux-etats-unis-cette-video-montre-t-elle-des-aeronefs-en-train-de-defiler-en-pleine-nuit-2339808.html	https://x.com/Christ24Intern1/status/1868229380566073749	
Une vidéo virale montre un robot humanoïde capable de courir à vive allure sur un terrain en pente	https://www.tf1info.fr/international/verif-chine-cette-video-d-un-robot-chinois-en-devaler-une-pente-en-courant-est-elle-authentique-2383044.html	https://x.com/0MoonPiece/status/1943726155246293214	
Des images inédites du futur GTA 6 ont fuité en ligne	https://www.tf1info.fr/culture/verif-des-images-inedites-du-futur-jeu-video-gta-6-rockstar-games-ont-elles-vraiment-fuite-en-ligne-internet-ia-2425563.html	https://x.com/pediavenir/status/2023714050761458160	
